Semester,Gender,Quiz,Attendance,Presentation,Assignment,Mid,Final,TotalMark,SGPA
2,1,6.0,4.75,5.42,3.39,20.5,27.73999999999999,67.8,3.39
6,0,8.0,4.4,5.02,3.14,23.0,19.23999999999999,62.8,3.14
2,0,13.0,4.27,4.88,3.05,16.0,19.8,61.0,3.05
6,0,14.0,3.18,3.63,2.27,3.0,19.32,45.4,2.27
11,1,13.0,4.7,5.38,3.36,21.0,19.76000000000001,67.2,3.36
7,1,11.0,3.29,3.76,2.35,3.5,23.1,47.0,2.35
2,1,11.0,2.66,3.04,1.9,10.0,9.400000000000002,38.0,1.9
3,0,13.0,3.88,4.43,2.77,21.0,10.32,55.4,2.77
4,0,14.0,3.77,4.3,2.69,3.5,25.54,53.8,2.69
6,0,13.0,5.45,6.22,3.89,22.0,27.23999999999999,77.8,3.89
2,1,14.0,4.94,5.65,3.53,22.5,19.97999999999999,70.6,3.53
2,0,10.0,4.75,5.42,3.39,13.0,31.23999999999999,67.8,3.39
11,1,2.0,3.42,3.9,2.44,13.0,24.04,48.8,2.44
4,0,11.0,5.5,6.29,3.93,23.0,28.88,78.6,3.93
11,1,8.0,3.75,4.29,2.68,16.0,18.88,53.6,2.68
2,1,8.0,4.37,4.99,3.12,13.0,28.91999999999999,62.4,3.12
3,0,10.0,4.69,5.36,3.35,20.0,23.59999999999999,67.0,3.35
1,1,12.0,4.33,4.94,3.09,22.0,15.44,61.8,3.09
5,0,14.0,4.75,5.42,3.39,8.0,32.23999999999999,67.8,3.39
2,1,11.0,4.51,5.15,3.22,18.5,22.02000000000001,64.4,3.22
8,1,13.0,0.1925,5.5,5.0,28.3075,31.0,83.0,4.0
12,1,14.0,4.51,5.15,3.22,16.0,21.52000000000001,64.4,3.22
7,0,8.0,4.94,5.65,3.53,12.0,36.47999999999999,70.6,3.53
11,1,13.0,3.75,4.29,2.68,10.0,19.88,53.6,2.68
5,0,10.0,5.1,5.82,3.64,15.5,32.73999999999999,72.8,3.64
2,1,12.0,4.82,5.5,3.44,20.5,22.53999999999999,68.8,3.44
3,0,12.0,4.13,4.72,2.95,14.0,21.2,59.0,2.95
1,1,11.0,4.09,4.67,2.92,20.0,15.72,58.4,2.92
11,1,13.0,3.4,3.89,2.43,12.0,13.88,48.6,2.43
11,1,11.0,3.58,4.1,2.56,13.0,16.96000000000001,51.2,2.56
11,1,10.0,3.98,4.54,2.84,10.0,25.44,56.8,2.84
6,0,7.0,3.77,4.3,2.69,8.0,28.04,53.8,2.69
4,0,10.0,3.19,3.65,2.28,16.0,10.48,45.6,2.28
12,1,12.0,4.24,4.85,3.03,14.0,22.48,60.6,3.03
5,0,10.0,5.0,5.71,3.57,14.5,32.62,71.4,3.57
2,0,14.0,5.53,6.32,3.95,22.0,27.2,79.0,3.95
2,1,3.0,3.26,3.73,2.33,3.5,30.78,46.6,2.33
4,0,9.0,4.76,5.44,3.4,13.0,32.40000000000001,68.0,3.4
2,1,7.0,3.22,3.68,2.3,8.0,21.8,46.0,2.3
2,1,12.0,4.33,4.94,3.09,15.5,21.94,61.8,3.09
7,1,9.0,4.09,4.67,2.92,13.0,24.72,58.4,2.92
7,1,9.0,4.13,4.72,2.95,16.0,22.2,59.0,2.95
6,0,8.0,3.01,3.44,2.15,8.0,18.4,43.0,2.15
7,1,4.0,3.61,4.13,2.58,3.5,33.78,51.6,2.58
5,0,13.0,4.63,5.3,3.31,8.0,31.96000000000001,66.2,3.31
6,0,13.0,5.19,5.94,3.71,14.5,31.86,74.2,3.71
6,0,15.0,5.52,6.3,3.94,21.0,27.03999999999999,78.8,3.94
7,1,12.0,5.59,6.38,3.99,21.5,30.34,79.8,3.99
1,1,5.0,3.16,3.62,2.26,8.0,23.16,45.2,2.26
12,1,15.0,4.33,4.94,3.09,17.0,17.44,61.8,3.09
6,0,13.0,5.07,5.79,3.62,16.0,28.92,72.4,3.62
2,1,11.0,4.98,5.7,3.56,10.5,35.46000000000001,71.2,3.56
5,0,7.0,3.6,4.11,2.57,5.0,29.12,51.4,2.57
2,1,5.0,4.27,4.88,3.05,15.0,28.8,61.0,3.05
8,1,10.0,4.38,5.01,3.13,16.8,23.28,62.6,3.13
6,0,6.0,3.98,4.54,2.84,6.0,33.44,56.8,2.84
2,1,15.0,4.62,5.28,3.3,11.5,26.3,66.0,3.3
2,1,10.0,4.62,5.28,3.3,12.0,30.8,66.0,3.3
5,0,11.0,4.93,5.63,3.52,22.0,23.32000000000001,70.4,3.52
2,1,13.0,4.09,4.67,2.92,13.0,20.72,58.4,2.92
12,1,7.0,2.42,2.77,1.73,14.0,6.68,34.6,1.73
7,1,10.0,2.84,3.25,2.03,12.0,10.48,40.6,2.03
6,0,9.0,3.51,4.02,2.51,13.5,17.66,50.2,2.51
5,0,2.0,2.59,2.96,1.85,4.0,23.6,37.0,1.85
2,1,8.0,4.34,4.96,3.1,5.0,36.59999999999999,62.0,3.1
11,1,14.0,2.69,3.07,1.92,6.5,10.22,38.4,1.92
11,1,8.0,3.95,4.51,2.82,17.5,19.62,56.4,2.82
11,1,13.0,3.63,4.14,2.59,11.0,17.44,51.8,2.59
1,1,5.0,3.63,4.14,2.59,11.0,25.44,51.8,2.59
3,0,15.0,4.89,5.58,3.49,22.5,18.34,69.8,3.49
10,1,11.0,3.37,3.86,2.41,5.5,22.06,48.2,2.41
10,1,4.0,2.97,3.39,2.12,13.5,16.42,42.4,2.12
4,0,15.0,5.04,5.76,3.6,20.0,22.6,72.0,3.6
7,1,9.0,4.55,5.2,3.25,16.0,27.0,65.0,3.25
5,0,12.0,5.0,5.71,3.57,14.0,31.12,71.4,3.57
12,1,13.0,5.49,6.27,3.92,22.0,27.72000000000001,78.4,3.92
1,1,2.0,1.58,1.81,1.13,16.0,0.08000000000000185,22.6,1.13
1,1,11.0,5.08,5.81,3.63,16.0,31.08,72.6,3.63
11,1,6.0,2.95,3.38,2.11,6.0,21.76000000000001,42.2,2.11
2,1,11.0,3.08,3.52,2.2,12.5,11.7,44.0,2.2
2,1,9.0,4.98,5.7,3.56,22.5,25.46000000000001,71.2,3.56
2,1,8.0,4.82,5.5,3.44,20.0,27.03999999999999,68.8,3.44
9,1,11.0,5.41,5.1,5.0,19.0,31.5,78.0,3.75
2,1,11.0,4.98,5.7,3.56,20.0,25.96000000000001,71.2,3.56
2,1,12.0,4.21,4.82,3.01,20.0,16.16,60.2,3.01
11,1,8.0,4.65,5.31,3.32,17.0,28.12,66.4,3.32
8,1,11.0,5.33,6.1,3.81,18.0,31.96000000000001,76.2,3.81
4,0,12.0,5.29,6.05,3.78,22.0,26.47999999999999,75.6,3.78
10,1,12.0,3.21,3.66,2.29,14.0,10.64,45.8,2.29
3,0,2.0,2.76,3.15,1.97,5.0,24.52,39.4,1.97
2,1,12.0,4.14,4.74,2.96,21.0,14.36,59.2,2.96
12,1,11.0,5.19,5.94,3.71,17.0,31.36,74.2,3.71
5,0,14.0,5.04,5.76,3.6,14.0,29.6,72.0,3.6
5,0,11.0,5.5,6.29,3.93,22.0,29.88,78.6,3.93
2,1,12.0,4.89,5.58,3.49,19.5,24.34,69.8,3.49
8,1,10.0,4.55,5.2,3.25,5.0,37.0,65.0,3.25
3,0,13.0,4.68,5.34,3.34,20.0,20.44,66.8,3.34
12,1,11.0,5.03,5.74,3.59,17.5,28.94,71.8,3.59
8,1,11.0,4.76,5.44,3.4,17.0,26.40000000000001,68.0,3.4
11,1,14.0,4.66,5.33,3.33,18.0,21.27999999999999,66.6,3.33
9,1,8.83,5.89,5.1,5.0,19.0,23.0,67.0,3.25
6,0,14.0,5.4,6.18,3.86,19.5,28.26000000000001,77.2,3.86
10,1,8.0,5.08,5.81,3.63,15.5,34.58,72.6,3.63
7,1,13.0,3.99,4.56,2.85,13.0,19.59999999999999,57.0,2.85
2,1,9.0,5.03,5.74,3.59,19.0,29.44,71.8,3.59
7,1,11.0,3.16,3.62,2.26,7.0,18.16,45.2,2.26
2,1,12.0,3.53,4.03,2.52,15.5,12.82,50.4,2.52
4,0,10.0,3.23,3.7,2.31,19.0,7.960000000000008,46.2,2.31
8,1,12.0,4.82,5.5,3.44,24.0,19.03999999999999,68.8,3.44
2,1,13.0,4.28,4.9,3.06,16.0,19.96000000000001,61.2,3.06
6,0,11.0,3.77,4.3,2.69,8.5,23.54,53.8,2.69
2,1,7.0,3.12,3.57,2.23,3.0,25.68,44.6,2.23
8,1,4.0,2.37,2.7,1.69,5.0,18.04,33.8,1.69
8,1,10.0,5.6,6.4,4.0,24.0,30.0,80.0,4.0
6,0,11.0,4.61,5.26,3.29,18.0,23.64,65.8,3.29
10,1,4.0,4.05,4.62,2.89,16.0,26.23999999999999,57.8,2.89
11,1,11.0,4.73,5.41,3.38,22.0,21.08,67.6,3.38
10,1,5.0,4.24,4.85,3.03,16.0,27.48,60.6,3.03
2,1,12.0,5.43,6.21,3.88,21.5,28.58,77.6,3.88
7,1,11.0,4.3,4.91,3.07,18.0,20.12,61.4,3.07
2,1,9.0,3.74,4.27,2.67,15.0,18.72,53.4,2.67
5,0,12.0,4.55,5.2,3.25,20.5,19.5,65.0,3.25
5,0,5.0,4.28,4.9,3.06,11.5,32.46,61.2,3.06
7,1,13.0,5.11,5.84,3.65,11.0,34.40000000000001,73.0,3.65
8,1,10.0,2.88,3.3,2.06,14.0,8.960000000000008,41.2,2.06
2,1,12.0,4.26,4.86,3.04,20.5,16.14,60.8,3.04
5,0,11.0,4.59,5.25,3.28,18.5,22.97999999999999,65.6,3.28
12,1,14.0,4.82,5.5,3.44,15.5,25.53999999999999,68.8,3.44
11,1,10.0,4.02,4.59,2.87,7.0,28.92,57.4,2.87
3,0,7.0,5.15,5.89,3.68,16.0,35.88,73.6,3.68
2,1,5.0,3.04,3.47,2.17,8.0,21.72,43.4,2.17
4,0,10.0,3.96,4.53,2.83,12.0,23.28,56.6,2.83
8,1,5.0,4.03,4.61,2.88,12.0,29.08,57.6,2.88
12,1,6.0,3.39,3.87,2.42,14.0,18.72,48.4,2.42
10,1,7.0,4.03,4.61,2.88,11.0,28.08,57.6,2.88
6,0,8.0,4.37,4.99,3.12,1.0,40.92,62.4,3.12
3,0,7.0,2.37,2.7,1.69,13.0,7.039999999999999,33.8,1.69
8,1,7.0,0.175,4.0,4.0,11.825,23.0,50.0,2.5
2,1,11.0,4.47,5.1,3.19,11.5,28.53999999999999,63.8,3.19
2,1,12.0,4.87,5.57,3.48,24.0,19.67999999999999,69.6,3.48
2,1,7.0,3.7,4.22,2.64,12.0,23.24,52.8,2.64
1,1,13.0,4.45,5.09,3.18,16.0,21.88,63.6,3.18
11,1,11.0,2.45,2.8,1.75,11.0,6.0,35.0,1.75
11,1,10.0,4.48,5.12,3.2,14.0,27.2,64.0,3.2
2,0,8.0,3.65,4.18,2.61,15.5,18.26000000000001,52.2,2.61
4,0,14.0,4.97,5.68,3.55,20.0,22.8,71.0,3.55
1,1,10.0,3.23,3.7,2.31,16.0,10.96000000000001,46.2,2.31
7,1,4.0,3.72,4.26,2.66,2.5,36.06,53.2,2.66
1,1,12.0,4.7,5.38,3.36,13.5,28.26000000000001,67.2,3.36
2,1,9.0,4.45,5.09,3.18,21.0,20.88,63.6,3.18
6,0,9.0,4.26,4.86,3.04,12.0,27.64,60.8,3.04
7,1,9.0,4.93,5.63,3.52,15.0,32.32000000000001,70.4,3.52
7,1,10.0,3.49,3.98,2.49,11.0,18.84,49.8,2.49
5,0,14.0,4.75,5.42,3.39,13.5,26.73999999999999,67.8,3.39
2,1,9.0,3.35,3.82,2.39,13.0,16.24,47.8,2.39
4,0,11.0,5.17,5.9,3.69,17.0,31.03999999999999,73.8,3.69
2,1,10.0,4.16,4.75,2.97,20.0,17.52,59.4,2.97
12,1,15.0,4.34,4.96,3.1,17.5,17.09999999999999,62.0,3.1
2,1,9.0,3.84,4.38,2.74,14.25,20.59,54.8,2.74
2,1,11.0,4.97,5.68,3.55,20.0,25.8,71.0,3.55
6,0,10.0,4.54,5.18,3.24,15.0,26.84,64.8,3.24
2,1,11.0,3.93,4.5,2.81,15.0,18.96000000000001,56.2,2.81
2,1,14.0,4.87,5.57,3.48,21.0,20.67999999999999,69.6,3.48
8,1,7.0,3.33,3.81,2.38,14.0,17.08,47.6,2.38
4,0,8.0,3.18,3.63,2.27,7.5,20.82,45.4,2.27
3,0,11.0,3.96,4.53,2.83,7.5,26.78,56.6,2.83
4,0,6.0,3.01,3.44,2.15,12.5,15.9,43.0,2.15
2,1,13.0,4.82,5.5,3.44,19.0,23.03999999999999,68.8,3.44
9,1,9.67,5.95,5.5,4.5,23.0,27.5,77.0,3.75
8,1,10.0,5.08,5.81,3.63,18.5,29.58,72.6,3.63
2,1,8.0,3.6,4.11,2.57,11.0,22.12,51.4,2.57
4,0,9.0,4.47,5.1,3.19,16.5,25.53999999999999,63.8,3.19
4,0,14.0,3.96,4.53,2.83,9.0,22.28,56.6,2.83
7,1,10.0,4.16,4.75,2.97,6.0,31.52,59.4,2.97
5,0,14.0,4.97,5.68,3.55,19.0,23.8,71.0,3.55
6,0,11.0,5.26,6.02,3.76,17.0,32.16,75.2,3.76
4,0,14.0,5.17,5.9,3.69,15.0,30.03999999999999,73.8,3.69
2,0,12.0,4.54,5.18,3.24,23.5,16.34,64.8,3.24
2,1,11.0,4.02,4.59,2.87,9.5,25.42,57.4,2.87
7,1,11.0,3.61,4.13,2.58,5.0,25.28,51.6,2.58
2,1,11.0,4.7,5.38,3.36,17.5,25.26000000000001,67.2,3.36
2,1,11.0,4.62,5.28,3.3,21.0,20.8,66.0,3.3
11,1,14.0,5.19,5.94,3.71,22.5,22.86,74.2,3.71
1,1,10.0,4.13,4.72,2.95,14.0,23.2,59.0,2.95
2,0,10.0,4.51,5.15,3.22,19.0,22.52000000000001,64.4,3.22
12,1,13.0,4.87,5.57,3.48,21.0,21.67999999999999,69.6,3.48
3,0,3.0,2.84,3.25,2.03,4.5,24.98,40.6,2.03
6,0,10.0,3.77,4.3,2.69,9.0,24.04,53.8,2.69
7,1,10.0,3.85,4.4,2.75,10.5,23.5,55.0,2.75
8,1,12.0,4.47,5.1,3.19,20.0,19.03999999999999,63.8,3.19
12,1,13.0,4.58,5.23,3.27,13.5,25.82000000000001,65.4,3.27
9,1,9.17,5.73,4.9,5.0,21.0,28.5,75.0,3.75
2,1,14.0,4.14,4.74,2.96,16.5,16.86,59.2,2.96
4,0,7.0,4.56,5.22,3.26,13.0,32.16,65.2,3.26
12,1,8.0,3.07,3.5,2.19,6.5,20.54,43.8,2.19
12,1,13.0,4.17,4.77,2.98,19.5,15.18,59.6,2.98
7,1,8.0,4.12,4.7,2.94,13.5,25.53999999999999,58.8,2.94
12,1,13.0,4.93,5.63,3.52,18.0,25.32000000000001,70.4,3.52
4,0,11.0,4.47,5.1,3.19,15.5,24.53999999999999,63.8,3.19
2,1,9.0,4.91,5.62,3.51,21.5,25.66,70.2,3.51
3,0,6.0,3.56,4.06,2.54,12.5,22.14,50.8,2.54
8,1,11.0,4.73,5.41,3.38,17.0,26.08,67.6,3.38
7,1,5.0,1.33,1.52,0.95,3.0,7.200000000000001,19.0,0.95
2,1,13.0,4.82,5.5,3.44,19.5,22.53999999999999,68.8,3.44
5,0,13.0,4.59,5.25,3.28,21.0,18.47999999999999,65.6,3.28
4,0,10.0,5.22,5.97,3.73,16.0,33.67999999999999,74.6,3.73
7,1,4.0,4.28,4.9,3.06,9.5,35.46,61.2,3.06
7,1,8.0,4.35,4.98,3.11,9.5,32.26000000000001,62.2,3.11
1,1,14.0,5.0,5.71,3.57,16.0,27.12,71.4,3.57
2,1,10.0,3.32,3.79,2.37,17.5,10.41999999999999,47.4,2.37
2,1,10.0,5.01,5.73,3.58,15.5,31.77999999999999,71.6,3.58
2,1,1.0,3.23,3.7,2.31,1.5,34.46,46.2,2.31
5,0,9.0,5.29,6.05,3.78,21.0,30.47999999999999,75.6,3.78
8,1,10.0,2.45,2.8,1.75,8.0,10.0,35.0,1.75
2,1,15.0,4.76,5.44,3.4,20.5,18.90000000000001,68.0,3.4
8,1,13.0,4.98,5.7,3.56,10.5,33.46000000000001,71.2,3.56
11,1,10.0,2.72,3.1,1.94,10.0,11.04,38.8,1.94
12,1,12.0,3.78,4.32,2.7,15.0,16.2,54.0,2.7
2,1,4.0,4.21,4.82,3.01,11.0,33.16,60.2,3.01
2,0,10.0,5.04,5.76,3.6,16.0,31.6,72.0,3.6
2,1,13.0,3.88,4.43,2.77,13.0,18.32,55.4,2.77
4,0,9.0,4.06,4.64,2.9,10.5,26.9,58.0,2.9
5,0,7.0,4.59,5.25,3.28,16.0,29.47999999999999,65.6,3.28
8,1,12.0,0.28,4.0,4.0,20.72,15.0,56.0,2.75
11,1,13.0,3.44,3.94,2.46,13.0,13.36,49.2,2.46
3,0,8.0,5.03,5.74,3.59,15.5,33.94,71.8,3.59
2,1,12.0,4.47,5.1,3.19,21.0,18.03999999999999,63.8,3.19
7,1,9.0,4.34,4.96,3.1,15.0,25.59999999999999,62.0,3.1
3,0,8.0,3.79,4.34,2.71,17.5,17.86,54.2,2.71
11,1,6.0,4.06,4.64,2.9,13.5,26.9,58.0,2.9
6,0,10.0,3.0,3.42,2.14,3.0,21.23999999999999,42.8,2.14
1,1,8.0,3.84,4.38,2.74,10.5,25.34,54.8,2.74
5,0,13.0,5.28,6.03,3.77,19.0,28.32000000000001,75.4,3.77
3,0,10.0,4.28,4.9,3.06,16.0,22.96000000000001,61.2,3.06
2,1,5.0,4.3,4.91,3.07,22.0,22.12,61.4,3.07
2,1,10.0,4.37,4.99,3.12,14.0,25.91999999999999,62.4,3.12
2,1,12.0,4.09,4.67,2.92,11.0,23.72,58.4,2.92
2,1,11.0,4.52,5.17,3.23,15.0,25.67999999999999,64.6,3.23
8,1,12.0,4.9,5.6,3.5,21.0,23.0,70.0,3.5
2,1,8.0,3.68,4.21,2.63,12.5,21.58,52.6,2.63
2,1,7.0,3.44,3.94,2.46,13.0,19.36,49.2,2.46
8,1,15.0,3.68,4.21,2.63,10.0,17.08000000000001,52.6,2.63
1,1,3.0,3.04,3.47,2.17,0.5,31.22,43.4,2.17
11,1,10.0,3.88,4.43,2.77,21.0,13.32,55.4,2.77
2,1,10.0,4.34,4.96,3.1,19.0,20.59999999999999,62.0,3.1
4,0,10.0,4.51,5.15,3.22,14.0,27.52000000000001,64.4,3.22
2,1,11.0,4.16,4.75,2.97,13.5,23.02,59.4,2.97
10,1,3.0,3.09,3.54,2.21,10.0,22.36,44.2,2.21
2,1,9.0,3.88,4.43,2.77,13.0,22.32,55.4,2.77
5,0,10.0,4.3,4.91,3.07,4.5,34.62,61.4,3.07
6,0,3.0,2.34,2.67,1.67,6.0,17.72,33.4,1.67
12,1,9.0,3.53,4.03,2.52,7.5,23.82,50.4,2.52
6,0,10.0,5.24,5.98,3.74,20.0,29.84,74.8,3.74
5,0,13.0,5.29,6.05,3.78,20.5,26.97999999999999,75.6,3.78
4,0,10.0,4.09,4.67,2.92,6.5,30.22,58.4,2.92
12,1,9.0,4.27,4.88,3.05,13.0,26.8,61.0,3.05
12,1,12.0,4.63,5.3,3.31,18.5,22.46000000000001,66.2,3.31
2,1,14.0,4.69,5.36,3.35,18.5,21.09999999999999,67.0,3.35
1,1,7.0,1.51,1.73,1.08,2.5,7.780000000000001,21.6,1.08
7,1,5.0,2.2,2.51,1.57,10.5,9.619999999999997,31.4,1.57
12,1,12.0,4.06,4.64,2.9,15.5,18.90000000000001,58.0,2.9
7,1,11.0,3.74,4.27,2.67,20.5,11.22,53.4,2.67
3,0,10.0,4.13,4.72,2.95,21.0,16.2,59.0,2.95
2,1,5.0,3.91,4.46,2.79,11.5,28.14,55.8,2.79
6,0,12.0,4.59,5.25,3.28,17.5,22.97999999999999,65.6,3.28
7,0,9.0,4.13,4.72,2.95,15.0,23.2,59.0,2.95
1,1,13.0,3.92,4.48,2.8,18.0,13.8,56.0,2.8
1,1,10.0,3.95,4.51,2.82,24.0,11.12,56.4,2.82
12,1,13.0,3.5,4.0,2.5,3.5,23.5,50.0,2.5
11,1,12.0,5.03,5.74,3.59,19.5,25.94,71.8,3.59
2,1,9.0,4.28,4.9,3.06,19.0,20.96000000000001,61.2,3.06
2,1,11.0,3.0,3.42,2.14,8.0,15.23999999999999,42.8,2.14
2,1,13.0,4.52,5.17,3.23,24.5,14.17999999999999,64.6,3.23
11,1,13.0,4.13,4.72,2.95,19.5,14.7,59.0,2.95
6,0,10.0,3.44,3.94,2.46,2.0,27.36,49.2,2.46
5,0,9.0,5.29,6.05,3.78,17.0,34.47999999999999,75.6,3.78
12,1,10.0,5.4,6.18,3.86,18.5,33.26000000000001,77.2,3.86
3,0,13.0,4.62,5.28,3.3,16.0,23.8,66.0,3.3
2,1,11.0,4.47,5.1,3.19,13.0,27.03999999999999,63.8,3.19
7,1,12.0,4.27,4.88,3.05,9.0,27.8,61.0,3.05
1,1,12.0,4.73,5.41,3.38,12.0,30.08,67.6,3.38
11,1,15.0,4.97,5.68,3.55,21.0,20.8,71.0,3.55
12,1,11.0,4.82,5.5,3.44,19.0,25.03999999999999,68.8,3.44
11,1,12.0,3.78,4.32,2.7,14.5,16.7,54.0,2.7
12,1,15.0,5.05,5.78,3.61,24.0,18.76000000000001,72.2,3.61
1,1,7.0,3.43,3.92,2.45,12.5,19.7,49.0,2.45
2,0,11.0,3.6,4.11,2.57,12.5,17.62,51.4,2.57
12,1,13.0,5.39,6.16,3.85,21.0,27.59999999999999,77.0,3.85
5,0,15.0,5.31,6.06,3.79,23.5,22.14,75.8,3.79
1,1,12.0,4.1,4.69,2.93,19.0,15.88,58.6,2.93
6,0,14.0,5.03,5.74,3.59,20.5,22.94,71.8,3.59
12,1,12.0,4.56,5.22,3.26,14.5,25.66,65.2,3.26
2,1,6.0,3.19,3.65,2.28,4.0,26.48,45.6,2.28
2,1,4.0,2.49,2.85,1.78,12.0,12.48,35.6,1.78
12,1,15.0,3.74,4.27,2.67,19.0,8.719999999999999,53.4,2.67
10,1,7.0,3.07,3.5,2.19,12.5,15.54,43.8,2.19
2,1,11.0,4.34,4.96,3.1,18.0,20.59999999999999,62.0,3.1
12,1,9.0,4.42,5.06,3.16,21.0,20.56,63.2,3.16
2,0,9.0,5.29,6.05,3.78,22.0,29.47999999999999,75.6,3.78
8,1,8.0,1.83,2.1,1.31,12.0,0.9599999999999973,26.2,1.31
5,0,14.0,5.21,5.95,3.72,19.0,26.52000000000001,74.4,3.72
2,1,10.0,4.91,5.62,3.51,19.5,26.66,70.2,3.51
3,0,9.0,4.86,5.55,3.47,13.0,33.52000000000001,69.4,3.47
11,1,13.0,3.5,4.0,2.5,17.0,10.0,50.0,2.5
12,1,15.0,5.15,5.89,3.68,25.0,18.88,73.6,3.68
7,1,15.0,5.24,5.98,3.74,19.0,25.84,74.8,3.74
3,0,6.0,3.71,4.24,2.65,20.0,16.4,53.0,2.65
7,0,9.0,3.95,4.51,2.82,4.0,32.12,56.4,2.82
2,1,8.0,3.89,4.45,2.78,10.0,26.48,55.6,2.78
2,0,15.0,4.4,5.02,3.14,8.0,27.23999999999999,62.8,3.14
5,0,13.0,5.31,6.06,3.79,18.0,29.64,75.8,3.79
2,1,11.0,5.14,5.87,3.67,21.0,26.72000000000001,73.4,3.67
2,1,6.0,4.12,4.7,2.94,14.5,26.53999999999999,58.8,2.94
7,1,14.0,4.37,4.99,3.12,15.5,20.41999999999999,62.4,3.12
3,0,14.0,5.54,6.34,3.96,23.0,26.36,79.2,3.96
8,1,8.0,4.38,5.01,3.13,16.0,26.08000000000001,62.6,3.13
12,1,13.0,3.63,4.14,2.59,19.0,9.439999999999998,51.8,2.59
7,1,12.0,2.94,3.36,2.1,8.0,13.6,42.0,2.1
2,1,14.0,4.33,4.94,3.09,21.0,14.44,61.8,3.09
2,1,10.0,4.41,5.04,3.15,21.0,19.40000000000001,63.0,3.15
10,1,12.0,4.9,5.6,3.5,23.16,20.84,70.0,3.5
11,1,5.0,3.32,3.79,2.37,10.25,22.67,47.4,2.37
8,1,14.0,4.03,4.61,2.88,11.0,21.08000000000001,57.6,2.88
2,1,10.0,5.12,5.86,3.66,22.0,26.56,73.2,3.66
7,1,8.0,4.89,5.58,3.49,1.0,46.84,69.8,3.49
2,0,8.0,3.49,3.98,2.49,19.5,12.34,49.8,2.49
2,1,11.0,4.96,5.66,3.54,19.0,26.64,70.8,3.54
2,1,7.0,4.52,5.17,3.23,20.0,24.67999999999999,64.6,3.23
1,1,12.0,3.82,4.37,2.73,9.0,22.68,54.6,2.73
1,1,8.0,5.0,5.71,3.57,18.5,30.62,71.4,3.57
2,1,11.0,5.05,5.78,3.61,19.75,27.01000000000001,72.2,3.61
12,1,15.0,5.57,6.37,3.98,25.0,23.67999999999999,79.6,3.98
2,1,12.0,3.71,4.24,2.65,17.0,13.4,53.0,2.65
11,1,10.0,5.05,5.78,3.61,19.5,28.26000000000001,72.2,3.61
5,0,9.0,4.12,4.7,2.94,19.0,19.03999999999999,58.8,2.94
2,1,12.0,4.73,5.41,3.38,12.5,29.58,67.6,3.38
2,1,13.0,4.52,5.17,3.23,16.0,22.67999999999999,64.6,3.23
2,1,8.0,4.41,5.04,3.15,18.5,23.90000000000001,63.0,3.15
2,1,8.0,3.68,4.21,2.63,9.0,25.08,52.6,2.63
8,1,12.0,4.77,5.46,3.41,15.5,27.06,68.2,3.41
4,0,9.0,4.09,4.67,2.92,22.0,15.72,58.4,2.92
11,1,9.0,3.88,4.43,2.77,12.5,22.82,55.4,2.77
12,1,13.0,4.94,5.65,3.53,14.0,29.47999999999999,70.6,3.53
2,1,12.0,4.62,5.28,3.3,18.5,22.3,66.0,3.3
8,1,5.0,0.28,3.0,4.5,23.22,29.0,65.0,3.25
6,0,13.0,4.75,5.42,3.39,25.0,16.23999999999999,67.8,3.39
6,0,13.0,3.85,4.4,2.75,11.0,20.0,55.0,2.75
6,0,11.0,3.63,4.14,2.59,14.0,16.44,51.8,2.59
2,1,14.0,4.82,5.5,3.44,16.0,25.03999999999999,68.8,3.44
5,0,9.0,3.26,3.73,2.33,7.0,21.28,46.6,2.33
2,1,11.0,5.33,6.1,3.81,18.5,31.46000000000001,76.2,3.81
12,1,13.0,4.09,4.67,2.92,18.5,15.22,58.4,2.92
2,1,8.0,4.56,5.22,3.26,9.5,34.66,65.2,3.26
4,0,7.0,4.0,4.58,2.86,11.5,27.26,57.2,2.86
5,0,8.0,3.91,4.46,2.79,10.5,26.14,55.8,2.79
2,1,12.0,3.71,4.24,2.65,13.0,17.4,53.0,2.65
1,1,12.0,3.64,4.16,2.6,20.0,9.599999999999994,52.0,2.6
1,1,9.0,2.32,2.66,1.66,11.0,6.560000000000002,33.2,1.66
11,1,11.0,3.02,3.46,2.16,12.5,11.06,43.2,2.16
11,1,12.0,2.95,3.38,2.11,6.5,15.26000000000001,42.2,2.11
2,1,9.0,5.24,5.98,3.74,14.5,36.34,74.8,3.74
6,0,14.0,4.91,5.62,3.51,13.0,29.16,70.2,3.51
8,1,12.0,4.28,4.9,3.06,21.8,15.16,61.2,3.06
5,0,8.0,4.33,4.94,3.09,6.5,34.94,61.8,3.09
3,0,14.0,5.24,5.98,3.74,22.0,23.84,74.8,3.74
10,1,11.0,5.22,5.97,3.73,19.0,29.67999999999999,74.6,3.73
4,0,14.0,4.34,4.96,3.1,20.0,15.59999999999999,62.0,3.1
6,0,11.0,3.86,4.42,2.76,4.0,29.16,55.2,2.76
11,1,14.0,5.03,5.74,3.59,21.5,21.94,71.8,3.59
5,0,13.0,4.87,5.57,3.48,19.0,23.67999999999999,69.6,3.48
5,0,8.0,5.08,5.81,3.63,16.5,33.58,72.6,3.63
12,1,10.0,4.68,5.34,3.34,21.0,22.44,66.8,3.34
